Ngày,Điểm Đóng cửa,Điểm Điều chỉnh,Thay đổi,GD khớp lệnh Khối lượng,GD khớp lệnh Giá trị (tỷ VNĐ),GD thỏa thuận Khối lượng,GD thỏa thuận Giá trị (tỷ VNĐ),Điểm Mở cửa,Điểm Cao nhất,Điểm Thấp nhất
24/10/2025,1683.18,"1,683.18",-3.88(-0.23 %),"915,573,500","28,719.44","24,211,050",734.3,"1,684.88","1,691.69","1,660.32"
23/10/2025,1687.06,"1,687.06",8.56(0.51 %),"698,675,200","22,751.31","49,734,779","1,603.27","1,680.73","1,698.01","1,669.78"
22/10/2025,1678.5,"1,678.50",15.07(0.91 %),"909,829,300","27,810.82","62,804,689","1,453.50","1,678.82","1,678.82","1,628.37"
21/10/2025,1663.43,"1,663.43",27(1.65 %),"1,543,512,300","46,398.36","34,800,614","1,440.75","1,640.80","1,677.11","1,622.37"
20/10/2025,1636.43,"1,636.43",-94.76(-5.47 %),"1,634,751,100","50,522.54","64,871,691","2,444.51","1,723.59","1,727.11","1,636.43"
17/10/2025,1731.19,"1,731.19",-35.66(-2.02 %),"1,220,064,400","40,032.93","50,975,480","1,963.52","1,773.17","1,773.17","1,725.10"
16/10/2025,1766.85,"1,766.85",8.9(0.51 %),"1,086,412,300","34,910.92","83,162,771","4,944.56","1,764.51","1,768.51","1,753.50"
15/10/2025,1757.95,"1,757.95",-3.11(-0.18 %),"1,106,642,900","35,439.41","71,573,918","2,175.43","1,766.12","1,773.73","1,754.89"
14/10/2025,1761.06,"1,761.06",-4.06(-0.23 %),"1,489,829,500","48,886.82","51,618,884","1,779.09","1,782.97","1,794.58","1,753.25"
13/10/2025,1765.12,"1,765.12",17.57(1.01 %),"1,230,255,900","38,489.21","79,429,310","2,486.21","1,738.23","1,766.77","1,736.03"
10/10/2025,1747.55,"1,747.55",31.08(1.81 %),"997,548,900","32,041.65","60,371,653","1,462.04","1,725.27","1,747.61","1,721.76"
9/10/2025,1716.47,"1,716.47",18.64(1.10 %),"1,042,461,100","31,772.93","47,404,600","2,131.84","1,702.76","1,717.65","1,699.17"
8/10/2025,1697.83,"1,697.83",12.53(0.74 %),"1,015,807,200","3,128.43","42,932,263","1,530.81","1,701.06","1,704.42","1,680.87"
7/10/2025,1685.3,"1,685.30",-10.2(-0.60 %),"798,268,000","22,937.83","69,313,810","2,167.80","1,703.90","1,703.90","1,685.30"
6/10/2025,1695.5,"1,695.50",49.68(3.02 %),"1,004,353,300","29,498.74","74,819,250","2,253.74","1,673.16","1,695.50","1,664.17"
3/10/2025,1645.82,"1,645.82",-6.89(-0.42 %),"814,035,900","23,111.70","43,600,443","1,250.83","1,652.39","1,654.60","1,638.60"
2/10/2025,1652.71,"1,652.71",-12.34(-0.74 %),"735,169,100","20,818.07","33,918,888","1,353.59","1,668.04","1,679.73","1,646.82"
1/10/2025,1665.05,"1,665.05",3.35(0.20 %),"665,999,631","19,816.23","51,516,893","1,500.89","1,664.95","1,671.07","1,658.81"
30/09/2025,1661.7,"1,661.70",-4.78(-0.29 %),"1,048,023,100","29,145.57","90,527,949","2,869.10","1,667.86","1,676.80","1,645.97"
29/09/2025,1666.48,"1,666.48",5.78(0.35 %),"808,013,800","23,356","98,209,799","2,870.85","1,659.33","1,674.84","1,655.03"
